ID_Musee,Nom,Telephone,Adresse,Latitude,Longitude,RefType,RefInstitution,RefVille,RefFinances,RefLocale
8400200060,CAPE DECISION LIGHTHOUSE SOCIETY,NULL,224 KATLIAN ST,57.05246,-135.3427,4,NULL,99835,311591643,3
8400200145,CAPE ST ELIAS LIGHTKEEPERS ASSOCIATION,9074245182,PO BOX 1023,60.07439,-147.99241,4,NULL,99574,920165946,4
8409502921,CARR-GOTTSTEIN GALLERY,8002527528,4101 UNIVERSITY DRIVE,61.18889,-149.80347,7,2,99502,920023588,1
8400200171,CENTER FOR ALASKAN COASTAL STUDIES,9072356756,708 SMOKEY BAY WAY,59.64585,-151.52423,2,NULL,99603,920086250,4
8400200051,CHILDREN'S MUSEUM OF ALASKA,NULL,PO BOX 112772,61.11024,-149.86107,8,NULL,99502,261910346,1
8400200136,CHILKAT INDIAN VILLAGE,9077675505,PO BOX 1004,59.24675,-135.47365,4,NULL,99827,920155562,4
8400200070,CHILKAT VALLEY HISTORICAL SOCIETY,9077662366,BOX 623,59.24675,-135.47365,4,NULL,99827,510180584,4
8400200134,CHUGIAK-EAGLE RIVER HISTORICAL SOCIETY,9076884706,PO BOX 670573,61.38967,-149.47465,4,NULL,99567,920147295,4
8400200099,CIRCLE DISTRICT HISTORICAL SOCIETY,9075201893,PO BOX 30189,65.34556,-145.14026,4,NULL,99730,920074363,4
8400200067,CLAUDIA KELSEY DOLL MUSEUM,9075864969,114 S FRANKLIN ST STE 103,58.3005,-134.40561,5,NULL,99801,456688579,3
8400200105,CLAUSEN MEMORIAL MUSEUM,9077723598,PO BOX 708,56.80634,-132.96963,1,NULL,99833,920089647,4
8400200097,COPPER VALLEY HISTORICAL SOCIETY,9078225285,PO BOX 84,61.92025,-145.38294,4,NULL,99573,920067823,4
8400200163,CORDOVA HISTORICAL SOCIETY,9074246665,PO BOX 391,60.07439,-147.99241,4,NULL,99574,926010338,4
8400200177,DENALI NATIONAL PARK AND PRESERVE,9076839536,PO BOX 9,63.62586,-150.90305,4,NULL,99755,920131177,4
8400200127,DOG MUSHING MUSEUM,9074573669,PO BOX 80136,64.84166,-147.72054,5,NULL,99708,920133850,1
8400200022,EAGLE HISTORICAL SOCIETY,9075472325,PO BOX 670573,64.78917,-141.20294,4,NULL,99738,920093792,4
8400200106,EAGLE HISTORICAL SOCIETY OF ALASKA,9075472325,PO BOX 23,64.78917,-141.20294,4,NULL,99738,920093792,4
8400200172,EAGLE RIVER NATURE CENTER,9076942108,32750 EAGLE RIVER ROAD,61.23644,-149.27332,2,NULL,99508,920156981,4
8400200055,FAIRBANKS CHILDREN'S MUSEUM,NULL,PO BOX 72477,64.84217,-147.72078,8,NULL,99708,264095584,1
8400200130,FAIRBANKS COMMUNITY MUSEUM,9074573669,410 CUSHMAN STREET,64.84231,-147.72457,1,NULL,99708,920139287,1
8400200034,FAIRBANKS HOCKEY HALL OF FAME,NULL,219 SLATER DR,64.83881,-147.70136,5,NULL,99708,201276510,1
8409503302,GARY L. FREEBURG ART GALLERY,NULL,3211 PROVIDENCE DRIVE,64.81712,-147.87837,7,3,99502,926000147,2
8400200114,GASTINEAU CHANNEL HISTORICAL SOCIETY,9075865338,PO BOX 21264,58.30836,-134.39819,4,NULL,99801,920111895,4
8409502161,GEORGESON BOTANICAL GARDEN,9074747222,117 WEST TANANA DRIVE,64.81712,-147.87837,2,4,99708,926000147,2
8400200075,GLENN HIGHWAY SCENIC BYWAY ASSOCIATION,NULL,PO BOX 773423,61.31504,-149.52682,4,NULL,99508,680561000,3
8400200081,GOLDBELT HERITAGE FOUNDATION,9077901424,3075 VINTAGE BLVD SUITE 200,58.33036,-134.47205,4,NULL,99801,810645819,3
8400200039,GUSTAVUS HISTORICAL ARCHIVES AND ANTIQUITIES,9076973042,PO BOX 14,58.82437,-136.97103,4,NULL,99826,205090234,4
8400200056,HAL HOPKINS WW II MEMORIAL,NULL,5929 CAMDEN CIR,61.19491,-149.76884,4,NULL,99502,270251570,1
8400200074,HAMMER MUSEUM,9077662374,PO BOX 702,59.24675,-135.47365,1,NULL,99827,571199151,4
8400200063,HISTORIC HALL,NULL,PO BOX 80589,64.85079,-147.82945,4,NULL,99708,383749864,2
8400200158,HOMER SOCIETY OF NATURAL HISTORY,NULL,3779 BARTLETT ST,59.6447,-151.5504,9,NULL,99603,926002856,4
8400200046,HOPE AND SUNRISE HISTORICAL SOCIETY,9077823740,PO BOX 88,60.88669,-149.54407,4,NULL,99605,237213390,4
8400200064,HUBBELL FAMILY HISTORICAL SOCIETY,NULL,PO BOX 1390,60.58442,-151.23509,4,NULL,99611,431262322,4
8400200146,IDITAROD NATIONAL HISTORIC TRAIL,9072747165,PO BOX 2323,61.19811,-149.92363,4,NULL,99664,920165948,1
8400200124,INTERNATIONAL GALLERY OF CONTEMPORARY ARTS,9072791116,PO BOX 100239,61.21824,-149.88931,7,NULL,99502,920128343,1
8400200090,INUPIAT HERITAGE CENTER,9078520422,5421 N STAR ST,70.66976,-155.14303,5,NULL,99723,920042378,4
8400200059,JENSEN-OLSON ARBORETUM,9077890139,23035 GLACIER HIGHWAY,58.48383,-134.77955,2,NULL,99801,272917330,4
8400200043,JESSE LEE HOME,9078658901,745 W 4TH AVENUE SUITE 250,60.20885,-149.38716,4,NULL,99664,263774589,4
8400200079,JILKAAT KWAAN HERITAGE CENTER,9077675485,PO BOX 976,59.24675,-135.47365,5,NULL,99827,731652033,4
8400200015,JUNEAU DOUGLAS CITY MUSEUM,9075863572,155 S SEWARD,58.30418,-134.42701,5,NULL,99801,270980810,3
8400200164,KACHEMAK HERITAGE LAND TRUST,9072355263,315 KLONDIKE AVE,59.64583,-151.53416000000001,2,NULL,99603,943104608,4
8400200166,KAKE TRIBAL HERITAGE FOUNDATION,9077853165,PO BOX 317,56.97824,-133.94876,4,NULL,99830,943149724,4
8400200151,KASILOF REGIONAL HISTORICAL ASSOCIATION,9072622999,PO BOX 3,60.33002,-151.28922,4,NULL,99610,920172991,4
8400200038,KENAI BICENTENNIAL VISITORS AND CULT. CENTER,9072831991,11471 KENAI SPUR HWY,60.55468,-151.26121,5,NULL,99611,204609315,3
8400200040,KENAI HISTORICAL SOCIETY,NULL,PO BOX 1348,60.58442,-151.23509,4,NULL,99611,205241723,4
8409503530,KIMURA GALLERY,9077861800,3211 PROVIDENCE DRIVE,64.81712,-147.87837,7,1,99502,926000147,2
8400200017,KNIK MUSEUM,9073762005,KNIK RD,61.58245,-149.43945,1,NULL,99654,920058042,3
8400200157,KODIAK HISTORICAL SOCIETY,9074865920,101 E MARINE WAY,57.7885,-152.39915,4,NULL,99615,926002560,3
8400200144,KODIAK MARITIME MUSEUM AND ART CENTER,9074860384,PO BOX 1876,57.79263,-152.40165,7,NULL,99615,920165430,3
8400200066,MARIE DRAKE PLANETARIUM,9075002941,PO BOX 23042,58.36674,-134.61082,3,NULL,99801,453069319,4
8400200155,MAXINE & JESSE WHITNEY MUSEUM,NULL,PO BOX 97,61.10482,-146.21652,5,NULL,99686,926000147,4
8400200112,MCCARTHY-KENNICOTT HISTORICAL MUSEUM,9072594550,PO BOX MXY,62.1077,-145.52846,4,NULL,99588,920104701,4
8400200083,MCKINLEY HISTORICAL SOCIETY & MUSEUM,NULL,240 E TUDOR RD,61.1804,-149.87975,4,NULL,99502,910112878,1
8400200012,MUSEUM OF ALASKA TRANSPORTATION AND INDUSTRY,9073761211,3800 W MUSEUM DR,61.58414,-149.44139,1,NULL,99654,920060340,3
8400200140,MUSEUM OF THE ALEUTIANS,9075815150,PO BOX 648,53.87139,-166.54126,5,NULL,99685,920162384,4
8409501670,MUSEUM OF THE NORTH,9074747505,907 YUKON DR,64.81712,-147.87837,5,4,99708,926000147,2
8400200108,MUSEUMS ALASKA,4253122235,PO BOX 3004,59.66896,-151.48517,5,NULL,99502,920097153,4
8400200053,NEW YORK ALASKA HOUSE,NULL,3806 N POINT CIR,61.13325,-149.94851,7,NULL,99502,262877798,1
8400200167,OCEANSALASKA,9072257900,PO BOX 6383,55.35076,-131.67274,6,NULL,99901,943194998,3
8400200009,OSCAR ANDERSON HOUSE,9072742336,420 M STREET,61.22198,-149.88169,4,NULL,99502,920085097,1
8400200119,PALMER HISTORICAL SOCIETY,9077451935,PO BOX 1935,61.59873,-149.11008,4,NULL,99645,920118118,3
8400200036,PALMER MUSEUM OF HISTORY AND ART,9077467668,723 S VALLEY WAY,61.59857,-149.11359,5,NULL,99645,203297367,3
8400200037,PELELIO WAR HISOTIRCAL SOCIETY,9077455541,9201 N SUN VALLEY DRIVE,61.68606,-149.22797,4,NULL,99645,203440561,4
8400200089,PIONEER MEMORIAL PARK,9074591087,PO BOX 70176,64.83685,-147.76725,2,NULL,99708,920042250,1
8400200161,PIONEERS OF ALASKA,9074431907,PO BOX 146,64.49805,-165.41115,4,NULL,99762,926003434,3
8400200173,PRATT MUSEUM,9072358635,3779 BARTLETT STREET,59.6447,-151.5504,7,NULL,99603,920166923,4
8400200080,PRIBILOF ALEUTS,9072232348,615 E 82ND AVE STE 200,61.14654,-149.87117,5,NULL,99502,800508049,1
8400200160,RESURRECTION BAY HISTORICAL SOCIETY,NULL,PO BOX 55,60.20885,-149.38716,4,NULL,99664,926003019,4
8400200061,RIO GRANDE MODELING & HISTORICAL SOCIETY,6142995064,4231 LAUREL ST,38.89506,-104.75644,4,NULL,99502,311748946,2
8400200010,RUSSIAN ORTHODOX MUSEUM,9072767257,605 A ST,61.19955,-149.73354,4,NULL,99502,710879791,1
8400200077,RUSSIAN ORTHODOX SACRED SITES IN ALASKA,9076443463,PO BOX 212315,61.19955,-149.73354,4,NULL,99502,710879791,1
8400200118,SAMUEL FOX MUSEUM,9078424831,PO BOX 273,59.04004,-158.45869,5,NULL,99576,920117700,4
8400200088,SAXMAN,NULL,ROUTE 2 BOX 1 - SAXMAN,55.38073,-131.68901,4,NULL,99901,920041226,4
8400200102,SEALASKA HERITAGE INSTITUTE,9074634844,1 SEALASKA PLZ STE 301,58.30039,-134.40814,5,NULL,99801,920081844,3
8400200126,SEWARD ASSOCIATION FOR THE ADVANCEMENT OF MARINE SCIENCE,9072246300,ALASKA SEALIFE CENTERPO,60.20885,-149.38716,6,NULL,99664,920132479,4
8400200085,SEWARD COMMUNITY LIBRARY,9072244082,239 6TH AVE,60.20885,-149.38716,5,NULL,99664,920018660,4
8400200001,SEWARD MUSEUM,9072243902,336 3RD AVE,60.20885,-149.38716,5,NULL,99664,926003019,4
8400200008,SHELDON JACKSON MUSEUM,9077478981,104 COLLEGE DRIE,57.05064,-135.32213,9,NULL,99835,920112427,3
8400200128,SHELDON MUSEUM AND CULTURAL CENTER,9077662366,PO BOX 269,59.24675,-135.47365,1,NULL,99827,920134317,4
8400200035,SIMON PANEAK MEMORIAL MUSEUM,9076613413,PO BOX 21085,68.24085,-151.89265,5,NULL,99721,202076516,4
8400200100,SITKA HISTORICAL SOCIETY,NULL,330 HARBOR DR,57.04922,-135.34093,4,NULL,99835,920074478,4
8400200148,SITKA MARITIME HERITAGE SOCIETY,NULL,PO BOX 2153,57.06019,-135.33625,1,NULL,99835,920169964,3
8400200050,SITKA SOUND SCIENCE CENTER,9077478878,834 LINCOLN STREET SUITE 200,57.04983,-135.32401,2,NULL,99835,261253086,3
8400200005,SOLDOTNA HISTORICAL SOCIETY,9072623832,461 CENTENNIAL PARK RD,60.49083,-151.0738,4,NULL,99669,920119189,3
8400200120,SOLDOTNA HISTORICAL SOCIETY AND MUSEUM,9072623832,PO BOX 1986,60.4771,-151.0871,4,NULL,99669,920119189,3
8400200062,STORIS MUSEUM,NULL,3201 NOWELL AVE,58.29323,-134.43055,5,NULL,99801,364642971,3
8409504138,STUDENT UNION GALLERY,9077861052,3211 PROVIDENCE DRIVE,64.81712,-147.87837,7,1,99502,926000147,2
8400200113,TALKEETNA HISTORICAL SOCIETY,9077332487,PO BOX 76,62.1755,-149.90017,4,NULL,99676,920109160,4
8400200092,TANANA YUKON HISTORICAL SOCIETY,9074558947,PO BOX 71336,64.84339,-147.71869,4,NULL,99708,920044211,1
8400200032,TENAKEE HISTORICAL COLLECTION,9077362243,PO BOX 633,57.77996,-135.21791,4,NULL,99841,30425229,4
8400200111,TOCHAK HISTORICAL SOCIETY,9075243016,PO BOX 236,62.91264,-154.94429,4,NULL,99627,920104105,4
8400200159,TONGASS HISTORICAL SOCIETY,9072255600,629 DOCK ST,55.34242,-131.64029,4,NULL,99901,926002943,3
8400200054,TREADWELL HISTORIC PRESERVATION & RESTORATION SOCIETY,NULL,PO BOX 240584,58.27846,-134.3996,4,NULL,99824,263289067,3
8409501019,UAA PLANETARIUM AND VISUALIZATION THEATER,9077861800,3211 PROVIDENCE DRIVE,64.81712,-147.87837,3,1,99502,926000147,4
8400200142,VALDEZ HISTORICAL PRESERVATION AND RESTORATION COMMITTEE,NULL,PO BOX 448,61.10482,-146.21652,4,NULL,99686,920164498,4
8400200138,VALDEZ MUSEUM AND HISTORICAL ARCHIVE ASSOCIATION,9078352764,PO BOX 8,61.10482,-146.21652,1,NULL,99686,920159463,4
8400200094,WASILLA-KINK HISTORICAL SOCIETY,9073762005,300 N BOUNDARY ST,61.58245,-149.43945,4,NULL,99654,920058042,3
8400200072,WESTERN HISTORY ASSOCIATION,9074746508,605 GRUENING,64.81712,-147.87837,4,NULL,99708,546044435,2
8400200052,WHALE PROJECT,NULL,15225 POINT LOUISA RD,58.37524,-134.7312,4,NULL,99801,262796849,4
8400200122,WHITESTONE FARMS,9078033075,PO BOX 1229,64.10761,-145.7709,4,NULL,99737,920123743,4
8400200071,WHITTIER MUSEUM ASSOCIATION,NULL,100 WHITTIER STREET,60.77,-148.68,1,NULL,99693,510451736,4
8400200154,WRANGELL MUSEUM,9078743770,296 CAMPBELL DR,56.47183,-132.38707,5,NULL,99929,926000144,4
8400100191,9TH AND 10TH (HORSE) CAVALRY ASSOCIATION,NULL,PO BOX 428,33.5128,-86.81171,4,NULL,35462,392050503,1
8400100163,AFRICAN AMERICAN HERITAGE TRAIL,2515332174,PO BOX 1827,30.68582,-88.04614,5,NULL,36633,271720928,1
8400100409,AIRCRAFT ENGINE HISTORICAL SOCIETY,2566831458,4608 CHARLES DR NW,34.75203,-86.63848,4,NULL,35816,631281222,1
8400100433,ALABAMA BENCH AND BAR HISTORICAL SOCIETY,NULL,PO BOX 722,32.37375,-86.31101,4,NULL,36104,721374279,1
8400100155,ALABAMA CENTER FOR AMERICAN HISTORY,NULL,928 HARGIS DR,33.35966,-86.59573,1,NULL,35043,263936733,4
8400100238,ALABAMA CENTER OF MILITARY HISTORY,NULL,2060A AIRPORT RD SW,34.69017,-86.58225,4,NULL,35816,582082521,1
8400100153,ALABAMA CITY HISTORICAL ASSOCIATION,NULL,PO BOX 4205,33.99526,-86.08196,4,NULL,35904,263821641,1
8400100380,ALABAMA COMPANY JAMESTOWNE SOCIETY,NULL,3036 WESTMORELAND DRIVE,34.6575,-86.52653,4,NULL,35223,631177118,1
8400100083,ALABAMA CONSTITUTION VILLAGE,2565648100,109 GATES AVE SE,34.72664,-86.57223,4,NULL,35816,631182396,1
8400100381,ALABAMA CONSTITUTION VILLAGE FOUNDATION,2565648100,404 MADISON ST SE,34.72861,-86.58469,5,NULL,35816,631182396,1
8400100428,ALABAMA DEPARTMENT OF ARCHIVES AND HISTORY,3343531936,PO BOX 300100,32.37771,-86.291,4,NULL,36104,63600619,1
8400100144,ALABAMA GOSPEL MUSIC CULTURAL ARTS CENTER,2054472208,730 8TH AVE W,33.5115,-86.84821,4,NULL,35204,261819848,1
8400100395,ALABAMA GOVERNORS MANSION,NULL,1001 SOUTH HULL STREET,32.36426,-86.3031,4,NULL,36104,631238510,1
8400100253,ALABAMA HISTORIC IRONWORKS COMMISSION,NULL,12632 CONFEDERATE PKWY,33.26851,-87.08321,4,NULL,35111,630587127,4
8400100231,ALABAMA HISTORICAL RADIO SOCIETY,2059677000,PO BOX 131418,33.51784,-86.81185,4,NULL,35204,581905488,1
8400100298,ALABAMA JAZZ HALL OF FAME,NULL,1631 4TH AVE N,33.51458,-86.81283,5,NULL,35204,630870612,1
8400100208,ALABAMA LABOR ARCHIVES AND HISTORY,3348345136,435 S MCDONOUGH ST,32.37285,-86.30467,1,NULL,36104,470855579,1
8400100192,ALABAMA LIGHTHOUSE ASSOCIATION,NULL,PO BOX 250,30.69651,-88.04401,4,NULL,36633,412024874,1
8400100371,ALABAMA MENS HALL OF FAME,2057262362,1125 E COLLINWOOD CIR,33.46411,-86.78814,5,NULL,36801,631153400,2
8400100286,ALABAMA MINING MUSEUM,2056482442,120 EAST ST,33.73169,-87.09091,1,NULL,35062,630840041,4
8409501098,ALABAMA MUSEUM OF NATURAL HISTORY,2053487550,427 6TH AVENUE NORTHEAST,33.20939,-87.54843,9,5,35487,636001138,4
8409500239,ALABAMA MUSEUM OF THE HEALTH SCIENCES,2059344475,1720 2ND AVENUE SOUTH,33.50142,-86.80725,3,6,35204,636005396,1
8400100222,ALABAMA NATIONAL GUARD HISTORICAL SOCIETY,2058330135,6900 43RD AVENUE NORTH NO 200,33.56265,-86.7397,4,NULL,35204,570888888,1
8400100113,ALABAMA NEGRO LEAGUE BASEBALL MUSEUM FOUNDATION,NULL,PO BOX 12524,33.51634,-86.80581,5,NULL,35204,205655870,1
8400100172,ALABAMA RIVER REGION ARTS CENTER,3345789485,300 W TALLASSEE ST,32.599850000000004,-86.20616,7,NULL,36092,273480154,4
8400100120,ALABAMA SPORTS HALL OF FAME,2053236665,2150 ARRINGTON BLVD N,33.52522,-86.81047,5,NULL,35204,237013282,1
8400100393,ALABAMA TRAIL OF TEARS CORRIDOR ASSOCIATION,6787433868,PO BOX 11145,34.7084,-86.61731,4,NULL,35816,631230100,1
8400100308,ALABAMA TRUST FOR HISTORIC PRESERVATION,2056523497,STATION 45,32.56319,-88.13818,4,NULL,35470,630947714,4
8400100182,ALABAMA VETERANS MUSEUM & ARCHIVES,2567717578,PO BOX 549,34.80672,-86.97072,1,NULL,35612,311624974,3
8400100279,ALABAMA WILDLIFE CENTER,2056637930,100 TERRACE DR,33.32452,-86.79516,6,NULL,35124,630813173,2
8400100125,ALABAMA ZOOLOGICAL SOCIETY,2058790458,2630 CAHABA ROAD,33.48437,-86.77398,6,NULL,35204,237090795,2
8400100388,ALDRIDGE GARDENS,2056828019,3530 LORNA RD,33.38533,-86.79432,2,NULL,35216,631207156,1
8400100275,ALICEVILLE HISTORICAL PRESERVATION COMMISSION,NULL,222 PINE HILL LANE,33.13138,-88.13725,4,NULL,35442,630794562,4
8400100346,ALICEVILLE MUSEUM,2053732363,104 BROAD ST PLAZA,33.12964,-88.16462,1,NULL,35442,631103657,4
8400100244,ALTAMONT SCHOOL,2058792006,4801 ALTAMONT RD S,33.51706,-86.75704,7,NULL,35204,630302110,1
8400100376,AMERICAN INDIAN MUSEUM,NULL,2003 POOLE DRIVE,34.75987,-86.59152,9,NULL,35816,631163085,1
8400100199,ANCIENT AFRICA ENSLAVEMENT AND CIVIL WAR MUSEUM,3344184889,1410 WATER AVE,32.40797,-87.01614,1,NULL,36703,452068398,3
8400100374,ANIMAL HOUSE EXOTIC ANIMALS & OSTRICH FARM,2569748634,2056 COUNTY ROAD 161,34.53421,-87.38741,6,NULL,35650,631161613,4
8400100321,ARAB HISTORICAL SOCIETY,2565866397,PO BOX 352,34.32768,-86.49274,4,NULL,35016,630980262,3
8400100284,ARLINGTON HISTORICAL ASSOCIATION,NULL,3756 EAST FAIRWAY DRIVE,33.50743,-86.747,4,NULL,35204,630829374,2
8409502760,ART GALLERY,2056656400,STATION 6001,33.10622,-86.85865,7,7,35115,636000720,2
8400100092,ARTSREVIVE,3348782787,PO BOX 2548,32.40623,-87.02243,4,NULL,36703,200440925,3
8400100449,ASHVILLE MASONIC LODGE COUNCIL,NULL,99 STEVENS FARM ROAD,33.79484,-86.27299,4,NULL,35953,800610605,4
8400100211,ATCHISON COUNTY HISTORICAL SOCIETY,9133676238,PO BOX 201,39.56301,-95.12723,4,NULL,36633,486134391,3
8400100350,ATMORE HISTORICAL SOCIETY,2513685234,11 ROLLINS PL,31.00903,-87.49114,4,NULL,36502,631114123,3
8400100115,AUBURN PRESERVATION LEAGUE,NULL,PO BOX 2945,32.61251,-85.47712,4,NULL,36831,208457213,1
8400100283,AUTAUGA COUNTY HERITAGE ASSOCIATION,3343610961,102 E MAIN ST,32.45953,-86.47176,4,NULL,36067,630825743,2
8400100407,AUTAUGA GENEALOGICAL SOCIETY,NULL,PO BOX 680668,32.46438,-86.42472,4,NULL,36067,631279860,2
8400100402,B BATTERY 711 AAA GUN BATTALION MEMORIAL,NULL,PO BOX 1173,30.87652,-87.78158,4,NULL,36507,631269511,3
8400100141,BALDWIN COUNTY EXPRESS,2512691593,19432 RADA ROAD,30.50572,-87.60636,1,NULL,36580,261631003,4
8400100282,BALDWIN HERITAGE MUSEUM ASSOCIATION,2519868375,PO BOX 356,30.39654,-87.56298,5,NULL,36530,630815980,4
8400100358,BARBER VINTAGE MOTORSPORT MUSEUM,2056997275,6030 BARBER MOTORSPORTS PARKWAY,33.50171,-86.62444,5,NULL,35204,631125485,4
8400100104,BARBOUR COUNTY GOVERNORS TRAIL,NULL,PO BOX 403,31.84169,-85.43541,4,NULL,36016,203185948,4
8400100095,BARE HANDS GALLERY,NULL,PO BOX 13961,33.51634,-86.80581,7,NULL,35204,201162009,1
8400100150,BAYBEARS CHARITIES,NULL,755 BOLLING BROTHERS BLVD,30.64483,-88.11585,5,NULL,36633,263196982,1
8400100096,BELLINGRATH GARDENS AND HOME,2519732217,12401 BELLINGRATH GARDENS RD,30.4637,-88.15263,2,NULL,36582,201422131,4
8400100088,BERMAN MUSEUM OF WORLD HISTORY,2562376766,840 MUSEUM DR,33.65842,-85.82646,5,NULL,36202,631082554,1
8400100127,BESSEMER HALL OF HISTORY,2054261633,1905 ALABAMA AVE,33.40094,-86.95051,1,NULL,35020,237113175,2
8400100194,BIRMINGHAM BLACK RADIO MUSEUM,NULL,1623 12TH STREET SOUTH,33.49047,-86.80692,5,NULL,35204,412131470,1
8409501975,BIRMINGHAM BOTANICAL GARDENS,2054143900,2612 LANE PARK ROAD,33.48904,-86.77441,2,NULL,35204,631287732,1
8400100229,BIRMINGHAM CIVIL RIGHTS INSTITUTE,2053289696,520 16TH ST N,33.5128,-86.81171,4,NULL,35204,581892067,1
8400100419,BIRMINGHAM HISTORICAL SOCIETY,2052511880,1 SLOSS QUARTERS,33.49589,-86.78154,4,NULL,35204,636050611,1
8400100094,BIRMINGHAM HISTORY CENTER,2052024146,1731 1ST AVE N STE 120,33.51496,-86.80949,1,NULL,35204,200889261,1
8400100214,BIRMINGHAM JEFFERSON HISTORICAL SOCIETY TERM,NULL,PO BOX 130285,33.50743,-86.747,4,NULL,35204,510198758,2
8400100314,BIRMINGHAM LANDMARKS,2052522262,1817 3RD AVE N,33.51496,-86.80949,4,NULL,35204,630958984,1
8400100124,BIRMINGHAM MUSEUM OF ART,2052542565,2000 8TH AVENUE NORTH,33.52206,-86.80939,7,NULL,35204,237077565,1
8400100241,BIRMINGHAM ZOO,2058790409,2630 CAHABA RD,33.48437,-86.77398,6,NULL,35223,621231591,2
8400100201,BLACK BELT MUSEUM,2056523828,UWA STATION 45,32.73363,-88.1937,5,NULL,35470,452905587,4
8400100361,BLACK FREEDMEN'S LIVING HISTORICAL FARM FOR CHILDREN,3348445700,PO BOX 106,32.00294,-86.96219,4,NULL,36741,631131736,4
